SITE_ID,SITE_FID,MR_FID,SE_FIELD_ID,SEASON,SETDATE,SUBSAMPLE,SUBSAMPLEPASS,SUBSAMPLEN,RECORDER,GEAR,GEAR_TYPE,TEMP,TURBIDITY,CONDUCTIVITY,DISSOLVED_OXYGEN,DISTANCE,WIDTH,NETRIVERMILE, STRUCTURENUMBER, USGS, RIVERSTAGE,DISCHARGE, U1,U2,U3,U4,U5,U6,U7,MACRO,MESO,HABITATRN,QC,MICRO_STRUCTURE, STRUCTURE_FLOW, STRUCTURE_MOD,SET_SITE_1,SET_SITE_2,SET_SITE_3,STARTTIME,STARTLATITUDE, STARTLONGITUDE,STOPTIME, STOPLATITUDE, STOPLONGITUDE,DEPTH1, VELOCITYBOT1, VELOCITY08_1, VELOCITY02OR06_1,DEPTH2, VELOCITYBOT2, VELOCITY08_2, VELOCITY02OR06_2,DEPTH3, VELOCITYBOT3, VELOCITY08_3, VELOCITY02OR06_3,WATERVEL, COBBLE, ORGANIC, SILT, SAND, GRAVEL, NO_TURBIDITY, NO_VELOCITY, COMMENTS
8932,,20200428-132135521-001,,MR,04/28/2020,1,1,N,JJW,TLC2,S,15.2,,,,40,,375.1,399.8,,,,,40,26,,,,SE,CHXO,POOL,,,2,3,3,1,4,0,13:24:49,39.16461,-94.66059,10:12:11,,,4.4,,,,6.2,,,,5.3,,,,,,,,,,,,-
8932,,20200428-132824971-002,,MR,04/28/2020,2,1,N,JJW,TLC2,S,15.2,,,,40,,374.6,399.6,,,,,40,26,,,,SE,ISB,CHNB,,,2,3,1,7,6,0,13:32:47,39.15895,-94.6579,10:26:41,,,2.6,,,,2.7,,,,2.5,,,,,,,,,,,,-
8932,,20200428-133649492-003,,MR,04/28/2020,3,1,N,JJW,TLC2,S,15.3,,,,40,,373.7,398.24,,,,,40,10,,,,SE,ISB,POOL,,,2,3,3,1,2,0,13:46:19,39.15432,-94.64559,10:45:41,,,7.8,,,,4.0,,,,2.3,,,,,,,,,,,,-
8932,,20200428-134922483-004,,MR,04/28/2020,4,1,N,JJW,TLC2,S,15.3,,,,40,,373.4,397.9,,,,,40,14,,,,SE,ISB,POOL,,,2,3,3,1,5,0,13:53:03,39.15451,-94.63981,11:00:39,,,11.3,,,,5.7,,,,2.7,,,,,,,,,,,,-
8932,,20200428-135613404-005,,MR,04/28/2020,5,1,N,JJW,TLC2,S,15.3,,,,40,,373.1,397.6,,,,,40,8,,,,SE,ISB,CHNB,,,2,3,3,3,5,0,13:59:24,39.15547,-94.63346,11:24:34,,,3.8,,,,4.7,,,,4.3,,,,,,,,,,,,-
8932,,20200428-140233854-006,,MR,04/28/2020,6,1,N,JJW,TLC2,S,15.3,,,,40,,372.8,397.4,,,,,40,15,,,,SE,ISB,POOL,,,2,3,3,1,2,0,14:06:47,39.15563,-94.6299,11:43:45,,,13.8,,,,11.1,,,,7.9,,,,,,,,,,,,-
8932,,20200428-141050025-007,,MR,04/28/2020,8,1,N,JJW,TLC2,S,15.3,,,,40,,372.1,396.65,,,,,40,27,,,,SE,CHXO,CHNB,,,2,3,3,3,5,0,14:20:22,39.15964,-94.61813,12:40:00,,,4.6,,,,3.9,,,,4.2,,,,,,,,,,,,-
8932,,20200428-142342326-008,,MR,04/28/2020,7,1,N,JJW,TLC2,S,15.3,,,,34,,372.6,397.22,,,,,40,22,,,MNCF,SE,ISB,POOL,,,2,3,3,1,5,0,14:29:03,39.15689,-94.62533,12:01:44,,,11.1,,,,6.8,,,,5.0,,,,,,,,,,,,-
