SITE_ID,SITE_FID,MR_FID,SE_FIELD_ID,SEASON,SETDATE,SUBSAMPLE,SUBSAMPLEPASS,SUBSAMPLEN,RECORDER,GEAR,GEAR_TYPE,TEMP,TURBIDITY,CONDUCTIVITY,DISSOLVED_OXYGEN,DISTANCE,WIDTH,NETRIVERMILE, STRUCTURENUMBER, USGS, RIVERSTAGE,DISCHARGE, U1,U2,U3,U4,U5,U6,U7,MACRO,MESO,HABITATRN,QC,MICRO_STRUCTURE, STRUCTURE_FLOW, STRUCTURE_MOD,SET_SITE_1,SET_SITE_2,SET_SITE_3,STARTTIME,STARTLATITUDE, STARTLONGITUDE,STOPTIME, STOPLATITUDE, STOPLONGITUDE,DEPTH1, VELOCITYBOT1, VELOCITY08_1, VELOCITY02OR06_1,DEPTH2, VELOCITYBOT2, VELOCITY08_2, VELOCITY02OR06_2,DEPTH3, VELOCITYBOT3, VELOCITY08_3, VELOCITY02OR06_3,WATERVEL, COBBLE, ORGANIC, SILT, SAND, GRAVEL, NO_TURBIDITY, NO_VELOCITY, COMMENTS
8681,,20200427-145954640-001,,MR,04/27/2020,1,1,N,JJW,TLC2,S,14.7,,,,40,,383.2,408.9,,,,,40,14,,,,SE,CHXO,POOL,,,2,3,3,1,2,0,15:07:01,39.19153,-94.7711,10:29:25,,,7.7,,,,8.7,,,,4.6,,,,,,,,,,,,-
8681,,20200427-151037711-002,,MR,04/27/2020,2,1,N,JJW,TLC2,S,14.8,,,,40,,382.4,408.6-B,,,,,40,28,,,,SE,ISB,POOL,,,2,3,1,1,5,0,15:28:51,39.18095,-94.76344,10:46:10,,,5.3,,,,3.8,,,,2.7,,,,,,,,,,,,-
8681,,20200427-153314102-003,,MR,04/27/2020,3,1,N,JJW,TLC2,S,14.9,,,,40,,382.2,408.6-B,,,,,40,19,,,,SE,ISB,CHNB,,,2,3,1,7,6,0,15:37:07,39.17969,-94.76144,10:56:26,,,2.3,,,,3.5,,,,3.3,,,,,,,,,,,,-
8681,,20200427-154004603-004,,MR,04/27/2020,4,1,N,JJW,TLC2,S,14.8,,,,40,,381.4,406.0,,,,,40,28,,,,SE,ISB,POOL,,,2,3,3,1,4,0,15:46:55,39.17271,-94.74972,11:14:15,,,8.3,,,,5.6,,,,4.6,,,,,,,,,,,,-
8681,,20200427-155010564-005,,MR,04/27/2020,5,1,N,JJW,TLC2,S,14.9,,,,40,,381.0,405.6,,,,,40,16,,,,SE,ISB,CHNB,,,2,3,3,3,5,0,15:54:58,39.17113,-94.7426,11:27:23,,,3.3,,,,4.5,,,,4.0,,,,,,,,,,,,-
8681,,20200427-155912625-006,,MR,04/27/2020,6,1,N,JJW,TLC2,S,14.9,,,,40,,380.4,405.0,,,,,40,27,,,,SE,ISB,POOL,,,2,3,3,1,2,0,16:05:16,39.16955,-94.73135,11:40:07,,,12.8,,,,5.1,,,,5.0,,,,,,,,,,,,-
8681,,20200427-160902685-007,,MR,04/27/2020,7,1,N,JJW,TLC2,S,14.9,,,,40,,379.5,404.5,,,,,40,29,,,,SE,ISB,POOL,,,2,3,1,7,2,0,16:15:40,39.17047,-94.71609,11:58:21,,,8.5,,,,4.4,,,,3.5,,,,,,,,,,,,-
8681,,20200427-161930126-008,,MR,04/27/2020,8,1,N,JJW,TLC2,S,14.9,,,,40,,378.8,403.75,,,,,40,25,,,,SE,ISB,CHNB,,,2,3,3,3,5,0,16:26:43,39.17483,-94.70468,12:12:11,,,4.6,,,,4.9,,,,5.0,,,,,,,,,,,,-
