SE_FID,DS_ID,SITE_ID,SITE_FID,SEARCH_DATE,RECORDER,SEARCH_TYPE_CODE,START_TIME,START_LATITUDE,START_LONGITUDE,STOP_TIME,STOP_LATITUDE,STOP_LONGITUDE,TEMP,CONDUCTIVITY
20200505-090717319-001,1,8883,,5/5/2020,JLJ,IN,9:08:25,42.47122,-96.38408,10:12:30,42.4147,-96.40932,13.4,
20200505-110612272-002,2,8883,,5/5/2020,JLJ,IN,11:06:17,42.50766,-96.58397,11:45:26,42.5151,-96.53345,13.6,
