T_FID,SE_FIELD_ID,BEND,RADIO_TAG_NUM,FREQUENCY_ID_CODE,CAPTURE_DATE,CAPTURE_LATITUDE,CAPTURE_LONGITUDE,POSITION_CONFIDENCE,MACRO_ID,MESO_ID,DEPTH,TEMP,CONDUCTIVITY,TURBIDITY,SILT,SAND,GRAVEL,COMMENTS
20200505-090717319-001-001,20200505-090717319-001,,58904,1,9:11:21,42.4733,-96.38499,2,OSB,CHNB,6,13.6,,,,,,-
20200505-090717319-001-002,20200505-090717319-001,,58907,1,10:10:07,42.4147,-96.40932,2,OSB,CHNB,5.2,13.6,,,,,,-
20200505-110612272-002-001,20200505-110612272-002,,19354,1,11:45:19,42.51512,-96.53341,3,ISB,CHNB,,13.6,,,,,,-
