SITE_ID,SITE_FID,SITE_YEAR,FIELDOFFICE_ID,FIELD_OFFICE,PROJECT_ID,PROJECT,SEGMENT_ID,SEGMENT,SEASON_ID,SEASON,BEND,BENDRN,BEND_RIVER_MILE,COMMENTS
8802,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,24,24 - James River,MR,MR - Mark Recapture,1,N,1,-
8801,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,32,32 - Vermillion River,MR,MR - Mark Recapture,1,N,1,-
8882,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,0,R,0,-
8705,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,1,N,811,-
8706,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,2,N,809.9,-
8740,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,3,R,807.5,-
8707,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,3,N,807.5,-
8708,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,4,N,805.5,-
8891,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,4,R,805.5,-
8709,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,5,N,803.5,-
8710,,2020,SD,SD - Yankton FWMAO,1,1 - Pallid Sturgeon Population Assessment,7,7 - Gavins Point Dam to Ponca,MR,MR - Mark Recapture,6,N,801.5,-
