SE_FID,DS_ID,SITE_ID,SITE_FID,SEARCH_DATE,RECORDER,SEARCH_TYPE_CODE,START_TIME,START_LATITUDE,START_LONGITUDE,STOP_TIME,STOP_LATITUDE,STOP_LONGITUDE,TEMP,CONDUCTIVITY
20201019-094324734-001,1,9279,0,10/19/2020,JFK,BS,10:15:36,40.84599,-95.84189,10:43:26,40.81373,-95.84599,11.2,
20201019-104952351-002,2,9280,0,10/19/2020,JFK,BS,10:50:19,40.7908,-95.83571,11:20:58,40.76246,-95.86311,11.2,
20201022-083404594-003,3,9279,0,10/22/2020,SJF,BS,9:50:39,40.84685,-95.84248,10:13:05,40.81738,-95.84388,9.4,
20201022-101329600-004,4,9280,0,10/22/2020,SJF,BS,10:20:59,40.79348,-95.83851,10:52:41,40.76127,-95.86646,9.3,
