SE_FID,DS_ID,SITE_ID,SITE_FID,SEARCH_DATE,RECORDER,SEARCH_TYPE_CODE,START_TIME,START_LATITUDE,START_LONGITUDE,STOP_TIME,STOP_LATITUDE,STOP_LONGITUDE,TEMP,CONDUCTIVITY
20200427-101625410-001,1,8883,,4/27/2020,JFK,RS,10:53:38,42.2339,-96.3357,14:40:35,42.00227,-96.24268,,
20200428-090718884-002,2,8883,,4/28/2020,JFK,RS,9:50:50,42.00485,-96.2426,14:06:41,41.80158,-96.06766,,
20200429-083732474-003,3,8883,,4/29/2020,JFK,RS,9:31:11,41.0145,-95.86736,13:50:24,40.69159,-95.84737,,
20200430-085329275-004,4,8883,,4/30/2020,JFK,RS,8:59:27,40.69248,-95.84698,13:14:12,40.45916,-95.67622,,
20200501-084730389-005,5,8884,,5/1/2020,JFK,RS,9:40:18,40.2567,-95.53939,13:19:26,40.0503,-95.42008,,
20200502-093749468-006,6,8884,,5/2/2020,BMH,IN,9:39:53,41.8603,-96.12846,13:16:43,41.65458,-96.0957,,
20200503-092846539-007,7,8883,,5/3/2020,JFK,IN,9:32:51,42.0118,-96.23976,12:42:40,41.85996,-96.12784,,
20200503-132558038-008,8,8883,,5/3/2020,JFK,IN,13:27:21,42.08009,-96.27752,14:03:10,42.07963,-96.27821,,
